Category,ScientificName
0,Miconia approximata Gamba & Almeda
1,Miconia ibaguensis (Bonpl.) Triana
2,Leandra nianga (DC.) Cogn.
3,Tibouchina semidecandra Cogn.
4,Miconia racemosa (Aubl.) DC.
5,Comolia lythrarioides Naudin
6,Mouriri myrtilloides (Sw.) Poir.
7,Miconia corymbiformis Cogn.
8,Macairea parvifolia Benth.
9,Brachyotum strigosum (L.f.) Triana
10,Clidemia bullosa DC.
11,Mouriri sagotiana Triana
12,Blakea henripittieri (Cogn.) Penneys & Almeda
13,Clidemia debilis Crueg.
14,Comolia veronicaefolia Benth.
15,Centradenia inaequilateralis (Schltdl. & Cham.) G.Don
16,Miconia impetiolaris (Sw.) D.Don ex DC.
17,Graffenrieda harlingii Wurdack
18,Tibouchina ciliaris (Vent.) Cogn.
19,Salpinga secunda Schrank & Mart. ex DC.
20,Tibouchina fothergillae (DC.) Cogn.
21,Miconia donaeana Naudin
22,Tococa carolensis Gleason
23,Henriettea sylvestris (Gleason) J.F.Macbr.
24,Mouriri nigra (DC.) Morley
25,Ossaea cucullata Gleason
26,Mouriri francavillana Cogn.
27,Tococa erythrophylla (Ule) Wurdack
28,Miconia compressa Naudin
29,Marcetia ericoides (Spreng.) Cogn.
30,Tococa oligantha Gleason
31,Conostegia cuatrecasii Gleason
32,Clidemia ombrophila Gleason
33,Miconia lateriflora Cogn.
34,Miconia holosericea (L.) DC.
35,Tetrazygia fadyenii Hook.
36,Tetrazygia angustifolia (Sw.) DC.
37,Monochaetum deppeanum (Schltdl. & Cham.) Naudin
38,Miconia calvescens DC.
39,Leandra clidemioides (Naudin) Wurdack
40,Leandra longicoma Cogn.
41,Leandra carassana (DC.) Cogn.
42,Trembleya laniflora Cogn.
43,Tibouchina heteromalla (D.Don) Cogn.
44,Leandra subseriata (Naudin) Cogn.
45,Mouriri myrtifolia Spruce ex Triana
46,Axinaea macrophylla (Naudin) Triana
47,Ossaea pauciflora (Naudin) Urb.
48,Aciotis caulialata (Ruiz & Pav.) Triana
49,Clidemia tepuiensis Wurdack
50,Aciotis circaeifolia (Bonpl.) Triana
51,Miconia gracilis Triana
52,Miconia ciliata (Rich.) DC.
53,Graffenrieda limbata Triana
54,Leandra rhamnifolia (Naudin) Cogn.
55,Tibouchina herbacea (DC.) Cogn.
56,Miconia cannabina Markgr.
57,Miconia salicifolia (Bonpl. ex Naudin) Naudin
58,Miconia argyrophylla DC.
59,Comolia coriacea Gleason
60,Pachyloma huberioides (Naudin) Triana
61,Blakea portentosa Wurdack
62,Blakea gracilis Hemsl.
63,Clidemia petiolaris (Schltdl. & Cham.) Triana
64,Blakea repens Ruiz & Pav.
65,Miconia pepericarpa DC.
66,Miconia petropolitana Cogn.
67,Mouriri crassifolia Sagot
68,Tibouchina arborea (Gardner) Cogn.
69,Tibouchina bicolor (Naudin) Cogn.
70,Miconia stephananthera Ule
71,Tococa stephanotricha Naudin
72,Aciotis polystachya (Bonpl.) Triana
73,Clidemia epiphytica (Triana) Cogn.
74,Miconia cuspidata Naudin
75,Lavoisiera imbricata DC.
76,Clidemia ciliata Pav. ex D.Don
77,Heterocentron subtriplinervium (Link & Otto) A.Braun & Bouchn++
78,Miconia lamprophylla Triana
79,Henriettea stellaris O.Berg ex Triana
80,Desmoscelis villosa (Aubl.) Naudin
81,Tibouchina fissinervia (DC.) Cogn.
82,Leandra hirta Raddi
83,Conostegia oerstediana O.Berg ex Triana
84,Tetrazygia bicolor (Mill.) Cogn.
85,Miconia heliotropoides Triana
86,Tococa macrosperma Mart.
87,Miconia paleacea Cogn.
88,Conostegia speciosa Naudin
89,Comolia ovalifolia (DC.) Triana
90,Tococa bullifera Mart. & Schrank ex DC.
91,Meriania tomentosa (Cogn.) Wurdack
92,Leandra micropetala (Naudin) Cogn.
93,Miconia tristis Spring
94,Leandra mexicana (Naudin) Cogn.
95,Miconia decurrens Cogn.
96,Noterophila limnobios (DC.) Mart.
97,Marcetia taxifolia (A.St.-Hil.) DC.
98,Miconia tuberculata (Naudin) Triana
99,Leandra salicina (Ser. ex DC.) Cogn.
100,Blakea multiflora Don
101,Tibouchina laxa (Desr.) Cogn.
102,Miconia quinquenervia (Mill.) Gamba & Almeda
103,Henriettea martiusii (DC.) Naudin
104,Tococa aristata Benth.
